experiment,layer,probe_character,center_character,test_character,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
B-to-B,27,Bob,Bob,Bob,0.8957322707322708,0.05103271521181968,0.17402979902979904,0.9820845268606463
B-to-B,26,Bob,Bob,Bob,0.9025467775467776,0.05450022614201719,0.17402979902979904,0.9820845268606463
B-to-B,25,Bob,Bob,Bob,0.9127974127974128,0.054098195889240655,0.17402979902979904,0.9820845268606463
B-to-B,24,Bob,Bob,Bob,0.9138080388080387,0.060279411025679686,0.17402979902979904,0.9820845268606463
B-to-B,23,Bob,Bob,Bob,0.9168110418110418,0.06168651691039749,0.17402979902979904,0.9820845268606463
B-to-B,22,Bob,Bob,Bob,0.9205936705936706,0.06437509422584048,0.17402979902979904,0.9820845268606463
B-to-B,21,Bob,Bob,Bob,0.9268595518595518,0.08291873963515753,0.17402979902979904,0.9820845268606463
B-to-B,20,Bob,Bob,Bob,0.9303823053823054,0.09623599175837981,0.17402979902979904,0.9820845268606463
B-to-B,19,Bob,Bob,Bob,0.939015939015939,0.1522689582391075,0.17402979902979904,0.9820845268606463
B-to-B,18,Bob,Bob,Bob,0.9421055671055671,0.18882858435097238,0.17402979902979904,0.9820845268606463
B-to-B,17,Bob,Bob,Bob,0.9474763224763225,0.19365294738429067,0.17402979902979904,0.9820845268606463
B-to-B,16,Bob,Bob,Bob,0.9624624624624625,0.20443238353686116,0.17402979902979904,0.9820845268606463
B-to-B,15,Bob,Bob,Bob,0.9701720951720952,0.25121865420372885,0.17402979902979904,0.9820845268606463
B-to-B,14,Bob,Bob,Bob,0.955994455994456,0.26920950801547816,0.17402979902979904,0.9820845268606463
B-to-B,13,Bob,Bob,Bob,0.9549260799260799,0.2561435248002412,0.17402979902979904,0.9820845268606463
B-to-B,12,Bob,Bob,Bob,0.9544063294063294,0.29760289461781997,0.17402979902979904,0.9820845268606463
B-to-B,11,Bob,Bob,Bob,0.6483310233310232,0.6730740238202925,0.17402979902979904,0.9820845268606463
B-to-B,10,Bob,Bob,Bob,0.4278124278124278,0.8602693602693603,0.17402979902979904,0.9820845268606463
B-to-B,9,Bob,Bob,Bob,0.26611226611226607,0.9685411327202373,0.17402979902979904,0.9820845268606463
B-to-B,8,Bob,Bob,Bob,0.22597597597597596,0.9751746318910498,0.17402979902979904,0.9820845268606463
B-to-B,7,Bob,Bob,Bob,0.18583968583968585,0.980375898286346,0.17402979902979904,0.9820845268606463
B-to-B,6,Bob,Bob,Bob,0.17238392238392236,0.9823357957686316,0.17402979902979904,0.9820845268606463
B-to-B,5,Bob,Bob,Bob,0.1690921690921691,0.982310668877833,0.17402979902979904,0.9820845268606463
B-to-B,4,Bob,Bob,Bob,0.1697851697851698,0.9821347806422434,0.17402979902979904,0.9820845268606463
B-to-B,3,Bob,Bob,Bob,0.16932316932316932,0.9815819890446755,0.17402979902979904,0.9820845268606463
B-to-B,2,Bob,Bob,Bob,0.17275929775929777,0.9822352882054375,0.17402979902979904,0.9820845268606463
B-to-B,1,Bob,Bob,Bob,0.16926541926541924,0.9817076234986682,0.17402979902979904,0.9820845268606463
B-to-B,0,Bob,Bob,Bob,0.17304804804804805,0.9817830041710639,0.17402979902979904,0.9820845268606463
A-to-B,31,Alice,Bob,Bob,0.4278413028413029,0.4486406352077994,0.17402979902979904,0.9820845268606463
A-to-B,30,Alice,Bob,Bob,0.48570686070686075,0.3587366199306498,0.17402979902979904,0.9820845268606463
A-to-B,29,Alice,Bob,Bob,0.36050473550473555,0.4797477260163827,0.17402979902979904,0.9820845268606463
A-to-B,28,Alice,Bob,Bob,0.16418341418341414,0.6772702145836474,0.17402979902979904,0.9820845268606463
A-to-B,27,Alice,Bob,Bob,0.08801108801108799,0.7593346399316548,0.17402979902979904,0.9820845268606463
A-to-B,26,Alice,Bob,Bob,0.06704781704781705,0.7977536559626112,0.17402979902979904,0.9820845268606463
A-to-B,25,Alice,Bob,Bob,0.05047355047355046,0.8282074476104327,0.17402979902979904,0.9820845268606463
A-to-B,24,Alice,Bob,Bob,0.044352044352044345,0.8379315543494648,0.17402979902979904,0.9820845268606463
A-to-B,23,Alice,Bob,Bob,0.04322591822591822,0.8517764711794563,0.17402979902979904,0.9820845268606463
A-to-B,22,Alice,Bob,Bob,0.04371679371679372,0.8790642745866627,0.17402979902979904,0.9820845268606463
A-to-B,21,Alice,Bob,Bob,0.046373296373296374,0.8887632544348962,0.17402979902979904,0.9820845268606463
A-to-B,20,Alice,Bob,Bob,0.05535343035343035,0.9155233931353335,0.17402979902979904,0.9820845268606463
A-to-B,19,Alice,Bob,Bob,0.07983945483945483,0.942534800743756,0.17402979902979904,0.9820845268606463
A-to-B,18,Alice,Bob,Bob,0.08913721413721415,0.9535655058043118,0.17402979902979904,0.9820845268606463
A-to-B,17,Alice,Bob,Bob,0.085008085008085,0.9650736217900397,0.17402979902979904,0.9820845268606463
A-to-B,16,Alice,Bob,Bob,0.10594248094248093,0.9647469722096588,0.17402979902979904,0.9820845268606463
A-to-B,15,Alice,Bob,Bob,0.16828366828366828,0.9774863058445149,0.17402979902979904,0.9820845268606463
A-to-B,14,Alice,Bob,Bob,0.36064911064911065,0.9250967385295744,0.17402979902979904,0.9820845268606463
A-to-B,13,Alice,Bob,Bob,0.41216216216216217,0.8894416804864566,0.17402979902979904,0.9820845268606463
A-to-B,12,Alice,Bob,Bob,0.6561850311850311,0.7028996431981507,0.17402979902979904,0.9820845268606463
A-to-B,11,Alice,Bob,Bob,0.2627627627627628,0.9435398763756973,0.17402979902979904,0.9820845268606463
A-to-B,10,Alice,Bob,Bob,0.3203973203973204,0.9319563797175737,0.17402979902979904,0.9820845268606463
A-to-B,9,Alice,Bob,Bob,0.24823862323862322,0.9724106739032112,0.17402979902979904,0.9820845268606463
A-to-B,8,Alice,Bob,Bob,0.2565835065835066,0.9739936680235187,0.17402979902979904,0.9820845268606463
A-to-B,7,Alice,Bob,Bob,0.18985331485331486,0.9805266596311373,0.17402979902979904,0.9820845268606463
A-to-B,6,Alice,Bob,Bob,0.17605105105105104,0.9821599075330418,0.17402979902979904,0.9820845268606463
A-to-B,5,Alice,Bob,Bob,0.1737699237699238,0.9823860495502286,0.17402979902979904,0.9820845268606463
A-to-B,4,Alice,Bob,Bob,0.17076692076692077,0.9814814814814814,0.17402979902979904,0.9820845268606463
A-to-B,3,Alice,Bob,Bob,0.17091129591129592,0.9816573697170713,0.17402979902979904,0.9820845268606463
A-to-B,2,Alice,Bob,Bob,0.17183529683529686,0.9814563545906829,0.17402979902979904,0.9820845268606463
