experiment,layer,int_auroc_alice,int_auroc_bob,cl_auroc_alice,cl_auroc_bob
B-to-B,23,0.8447948168682795,0.12285652824158488,0.21674962197580647,0.926156501608244
B-to-B,22,0.8618767851142474,0.14923121837290773,0.21674962197580647,0.926156501608244
B-to-B,21,0.8603961903561828,0.15500860461781155,0.21674962197580647,0.926156501608244
B-to-B,20,0.8517830141129032,0.1637028538649075,0.21674962197580647,0.926156501608244
B-to-B,19,0.833698231686828,0.17735500194628262,0.21674962197580647,0.926156501608244
B-to-B,18,0.8485619329637096,0.20858259408739832,0.21674962197580647,0.926156501608244
B-to-B,17,0.8934103032594086,0.23359232550039952,0.21674962197580647,0.926156501608244
B-to-B,16,0.8844716061827957,0.26217450984409246,0.21674962197580647,0.926156501608244
B-to-B,15,0.8821982106854838,0.25713978406506727,0.21674962197580647,0.926156501608244
B-to-B,14,0.8661610593077957,0.30954344307635573,0.21674962197580647,0.926156501608244
B-to-B,13,0.8440597698252689,0.369220052856938,0.21674962197580647,0.926156501608244
B-to-B,12,0.7406439012096774,0.3995052344758353,0.21674962197580647,0.926156501608244
B-to-B,11,0.7787902175739249,0.3910440269611358,0.21674962197580647,0.926156501608244
B-to-B,10,0.5964591733870968,0.4201127819548872,0.21674962197580647,0.926156501608244
B-to-B,9,0.497356455813172,0.5308357747229109,0.21674962197580647,0.926156501608244
B-to-B,8,0.6651046917002688,0.44009290938517953,0.21674962197580647,0.926156501608244
B-to-B,7,0.5650070354502688,0.46909508102681774,0.21674962197580647,0.926156501608244
B-to-B,6,0.6211725050403226,0.41014320542500665,0.21674962197580647,0.926156501608244
B-to-B,5,0.574930170530914,0.47532830714388163,0.21674962197580647,0.926156501608244
B-to-B,4,0.5088730678763441,0.4735971399889369,0.21674962197580647,0.926156501608244
B-to-B,3,0.5169218329973119,0.47628352215689085,0.21674962197580647,0.926156501608244
B-to-B,2,0.4956238449260753,0.5429641884001557,0.21674962197580647,0.926156501608244
B-to-B,1,0.5365108366935485,0.49807420458503204,0.21674962197580647,0.926156501608244
B-to-B,0,0.4935762138776882,0.4973084960357297,0.21674962197580647,0.926156501608244
A-to-B,23,0.612210181451613,0.1604223433242507,0.21674962197580647,0.926156501608244
A-to-B,22,0.311746576780914,0.5011216733932925,0.21674962197580647,0.926156501608244
A-to-B,21,0.19799804687500003,0.6383397185060745,0.21674962197580647,0.926156501608244
A-to-B,20,0.15861002604166669,0.6980521808608715,0.21674962197580647,0.926156501608244
A-to-B,19,0.1293289020497312,0.7563177357562845,0.21674962197580647,0.926156501608244
A-to-B,18,0.17676043766801075,0.7008870951220013,0.21674962197580647,0.926156501608244
A-to-B,17,0.1487866473454301,0.8098814816332385,0.21674962197580647,0.926156501608244
A-to-B,16,0.17036027805779572,0.811208026879187,0.21674962197580647,0.926156501608244
A-to-B,15,0.18201077368951613,0.8005598123373829,0.21674962197580647,0.926156501608244
A-to-B,14,0.17722771757392472,0.792295793980865,0.21674962197580647,0.926156501608244
A-to-B,13,0.2276598202284946,0.844402388805802,0.21674962197580647,0.926156501608244
A-to-B,12,0.3615538894489247,0.6955322570732008,0.21674962197580647,0.926156501608244
A-to-B,11,0.5536925613239247,0.6320962487963779,0.21674962197580647,0.926156501608244
A-to-B,10,0.4644788516465054,0.6073989469586775,0.21674962197580647,0.926156501608244
A-to-B,9,0.28402480258736557,0.6021081313638319,0.21674962197580647,0.926156501608244
A-to-B,8,0.3930716565860215,0.5948915203540186,0.21674962197580647,0.926156501608244
A-to-B,7,0.47859438004032256,0.5189199155927967,0.21674962197580647,0.926156501608244
A-to-B,6,0.4820438508064516,0.5145919977054352,0.21674962197580647,0.926156501608244
